Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,P Pitching Outs,Batter H/PA,Pitcher H/PA,Against H/PA,Batter Pitcher Matchup H/PA
Shea Langeliers,George Kirby,Right,Home,4,Right,5.83,0.2,0.27,0.5,0.24
Seth Brown,George Kirby,Right,Home,5,Left,5.83,0.24,0.28,0.19,0.25
Zack Gelof,George Kirby,Right,Home,6,Right,5.83,0.2,0.27,0.6,0.24
Tristan Gray,George Kirby,Right,Home,7,Left,5.83,0.0,0.28,0,0.14
Max Schuemann,George Kirby,Right,Home,8,Right,5.83,0.18,0.27,0.0,0.22
Jacob Wilson,George Kirby,Right,Home,9,Right,5.83,0.21,0.27,0,0.24
Corbin Carroll,Hayden Birdsong,Right,Away,1,Left,nan,0.25,0.21,0,0.23
Jake McCarthy,Hayden Birdsong,Right,Away,2,Left,nan,0.24,0.21,0,0.23
Joc Pederson,Hayden Birdsong,Right,Away,3,Left,nan,0.19,0.21,0,0.2
Christian Walker,Hayden Birdsong,Right,Away,4,Right,nan,0.22,0.23,0,0.23
Pavin Smith,Hayden Birdsong,Right,Away,5,Left,nan,0.21,0.21,0,0.21
Adrian Del Castillo,Hayden Birdsong,Right,Away,6,Left,nan,0.24,0.21,0,0.23
Eugenio Suarez,Hayden Birdsong,Right,Away,7,Right,nan,0.23,0.23,0,0.23
Luis Guillorme,Hayden Birdsong,Right,Away,8,Left,nan,0.17,0.21,0,0.19
Geraldo Perdomo,Hayden Birdsong,Right,Away,9,Both,nan,0.24,0.22,0,0.23
Mike Yastrzemski,Zac Gallen,Right,Home,1,Left,5.83,0.23,0.23,0.27,0.23
Tyler Fitzgerald,Zac Gallen,Right,Home,2,Right,5.83,0.23,0.23,0,0.23
Heliot Ramos,Zac Gallen,Right,Home,3,Right,5.83,0.23,0.23,0,0.23
Michael Conforto,Zac Gallen,Right,Home,4,Left,5.83,0.16,0.23,0.25,0.2
Matt Chapman,Zac Gallen,Right,Home,5,Right,5.83,0.22,0.23,0.0,0.22
LaMonte Wade Jr,Zac Gallen,Right,Home,6,Left,5.83,0.21,0.23,0.22,0.22
Patrick Bailey,Zac Gallen,Right,Home,7,Both,5.83,0.22,0.23,0.6,0.24
Marco Luciano,Zac Gallen,Right,Home,8,Right,5.83,0.26,0.23,0,0.25
Grant McCray,Zac Gallen,Right,Home,9,Left,5.83,0.19,0.23,0,0.21
