Batter,Opposing Team,Batter Location,Batter Spot,Against PA,Against H,T Recent PA,T Recent H,Opposing Pitcher,Throw,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H,B Recent H,B Recent PA
Willy Adames,Cardinals,Home,5,118,25,262,54,Sonny Gray,Right,Right,18,5,450.0,112,278.0,64,597.0,135,592.0,127,278,66,304.0,60,29,8,16.0,77.0
Garrett Mitchell,Cardinals,Home,6,23,5,262,54,Sonny Gray,Right,Left,0,0,133.0,30,67.0,14,158.0,36,592.0,127,278,66,288.0,67,29,8,11.0,43.0
Rhys Hoskins,Cardinals,Home,7,146,25,262,54,Sonny Gray,Right,Right,15,4,339.0,64,200.0,37,442.0,82,592.0,127,278,66,304.0,60,29,8,6.0,65.0
Sal Frelick,Cardinals,Home,8,50,11,262,54,Sonny Gray,Right,Left,5,0,383.0,94,218.0,55,456.0,110,592.0,127,278,66,288.0,67,29,8,14.0,45.0
Joey Ortiz,Cardinals,Home,9,33,8,262,54,Sonny Gray,Right,Right,4,1,298.0,66,195.0,42,421.0,88,592.0,127,278,66,304.0,60,29,8,9.0,57.0
Steven Kwan,Royals,Away,1,109,26,246,64,Seth Lugo,Right,Left,5,2,349.0,89,256.0,67,498.0,133,726.0,156,366,80,378.0,86,131,36,9.0,80.0
Andres Gimenez,Royals,Away,2,98,25,246,64,Seth Lugo,Right,Left,5,0,379.0,90,292.0,69,537.0,125,726.0,156,366,80,378.0,86,131,36,12.0,66.0
Jose Ramirez,Royals,Away,3,133,36,246,64,Seth Lugo,Right,Both,7,1,418.0,91,302.0,69,583.0,146,726.0,156,366,80,726.0,156,131,36,14.0,72.0
Josh Naylor,Royals,Away,4,97,24,246,64,Seth Lugo,Right,Left,6,2,385.0,89,274.0,56,544.0,119,726.0,156,366,80,378.0,86,131,36,14.0,70.0
Jhonkensy Noel,Royals,Away,5,23,4,246,64,Seth Lugo,Right,Right,3,0,101.0,23,71.0,15,152.0,35,726.0,156,366,80,348.0,70,131,36,13.0,55.0
