Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H
Jared Triolo,Shota Imanaga,Left,Away,8,Right,3,1,106.0,18,199.0,41,363.0,66,590.0,131,301,66,473.0,107,24,2
Henry Davis,Shota Imanaga,Left,Away,9,Right,0,0,27.0,6,75.0,10,115.0,15,590.0,131,301,66,473.0,107,24,2
Ian Happ,Domingo German,Right,Home,1,Both,4,0,430.0,88,255.0,59,557.0,118,81.0,16,62,10,81.0,16,1,0
Michael Busch,Domingo German,Right,Home,2,Left,2,0,411.0,89,216.0,45,487.0,107,81.0,16,62,10,41.0,7,1,0
Seiya Suzuki,Domingo German,Right,Home,3,Right,4,3,375.0,95,215.0,44,490.0,120,81.0,16,62,10,40.0,9,1,0
Cody Bellinger,Domingo German,Right,Home,4,Left,7,0,342.0,77,217.0,49,475.0,115,81.0,16,62,10,41.0,7,1,0
Isaac Paredes,Domingo German,Right,Home,5,Right,7,0,424.0,75,279.0,48,555.0,108,81.0,16,62,10,40.0,9,1,0
Nico Hoerner,Domingo German,Right,Home,6,Right,5,0,447.0,99,267.0,60,555.0,129,81.0,16,62,10,40.0,9,1,0
Dansby Swanson,Domingo German,Right,Home,7,Right,4,1,403.0,82,234.0,51,496.0,106,81.0,16,62,10,40.0,9,1,0
Pete Crow-Armstrong,Domingo German,Right,Home,8,Left,2,1,256.0,54,131.0,22,315.0,68,81.0,16,62,10,41.0,7,1,0
Miguel Amaya,Domingo German,Right,Home,9,Right,2,2,232.0,56,146.0,29,301.0,66,81.0,16,62,10,40.0,9,1,0
Gleyber Torres,Nathan Eovaldi,Right,Away,1,Right,48,10,399.0,87,300.0,70,551.0,121,560.0,117,318,59,280.0,52,94,20
Juan Soto,Nathan Eovaldi,Right,Away,2,Left,6,2,414.0,103,324.0,74,616.0,146,560.0,117,318,59,280.0,65,94,20
Aaron Judge,Nathan Eovaldi,Right,Away,3,Right,38,14,444.0,121,318.0,84,611.0,159,560.0,117,318,59,280.0,52,94,20
Austin Wells,Nathan Eovaldi,Right,Away,4,Left,2,1,274.0,63,176.0,39,334.0,73,560.0,117,318,59,280.0,65,94,20
Giancarlo Stanton,Nathan Eovaldi,Right,Away,5,Right,40,12,267.0,60,190.0,39,386.0,86,560.0,117,318,59,280.0,52,94,20
Jazz Chisholm Jr,Nathan Eovaldi,Right,Away,6,Left,4,1,344.0,85,235.0,66,532.0,129,560.0,117,318,59,280.0,65,94,20
Anthony Rizzo,Nathan Eovaldi,Right,Away,7,Left,26,9,222.0,47,174.0,35,298.0,62,560.0,117,318,59,280.0,65,94,20
Anthony Volpe,Nathan Eovaldi,Right,Away,8,Right,8,0,432.0,104,317.0,75,605.0,144,560.0,117,318,59,280.0,52,94,20
Alex Verdugo,Nathan Eovaldi,Right,Away,9,Left,8,1,378.0,83,286.0,66,553.0,119,560.0,117,318,59,280.0,65,94,20
Marcus Semien,Marcus Stroman,Right,Home,1,Right,20,7,461.0,94,299.0,60,618.0,131,594.0,136,281,62,305.0,67,99,22
Corey Seager,Marcus Stroman,Right,Home,2,Left,13,3,380.0,96,253.0,60,531.0,132,594.0,136,281,62,289.0,69,99,22
Josh Smith,Marcus Stroman,Right,Home,3,Left,4,1,370.0,82,242.0,58,496.0,116,594.0,136,281,62,289.0,69,99,22
Adolis Garcia,Marcus Stroman,Right,Home,4,Right,5,0,402.0,81,262.0,48,545.0,111,594.0,136,281,62,305.0,67,99,22
Nathaniel Lowe,Marcus Stroman,Right,Home,5,Left,5,1,346.0,73,229.0,49,466.0,103,594.0,136,281,62,289.0,69,99,22
Josh Jung,Marcus Stroman,Right,Home,6,Right,5,0,110.0,30,82.0,22,138.0,37,594.0,136,281,62,305.0,67,99,22
Wyatt Langford,Marcus Stroman,Right,Home,7,Right,2,1,360.0,81,235.0,54,454.0,100,594.0,136,281,62,305.0,67,99,22
Jonah Heim,Marcus Stroman,Right,Home,8,Both,0,0,317.0,67,218.0,47,422.0,89,594.0,136,281,62,594.0,136,99,22
Leody Taveras,Marcus Stroman,Right,Home,9,Both,2,0,361.0,79,220.0,47,455.0,96,594.0,136,281,62,594.0,136,99,22
Shohei Ohtani,Griffin Canning,Right,Away,1,Left,0,0,403.0,106,318.0,80,618.0,158,612.0,148,338,80,318.0,78,94,23
Mookie Betts,Griffin Canning,Right,Away,2,Right,5,2,288.0,72,212.0,61,420.0,110,612.0,148,338,80,294.0,70,94,23
Freddie Freeman,Griffin Canning,Right,Away,3,Left,2,1,361.0,96,270.0,67,547.0,136,612.0,148,338,80,318.0,78,94,23
Teoscar Hernandez,Griffin Canning,Right,Away,4,Right,6,4,425.0,99,291.0,71,575.0,140,612.0,148,338,80,294.0,70,94,23
Gavin Lux,Griffin Canning,Right,Away,5,Left,2,1,375.0,90,217.0,53,420.0,97,612.0,148,338,80,318.0,78,94,23
Will Smith,Griffin Canning,Right,Away,6,Right,5,2,338.0,73,252.0,60,471.0,102,612.0,148,338,80,294.0,70,94,23
Max Muncy,Griffin Canning,Right,Away,7,Left,8,0,150.0,34,93.0,15,205.0,40,612.0,148,338,80,318.0,78,94,23
