Batter,Opposing Pitcher,Opposing Team,Batter Location,Batter Spot,AB,H,2B,3B,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Jake Cronenworth,Keider Montero,Tigers,Home,5,0,0,0,0,0,0,0,0,0,0,0,0
Xander Bogaerts,Keider Montero,Tigers,Home,6,0,0,0,0,0,0,0,0,0,0,0,0
Jackson Merrill,Keider Montero,Tigers,Home,7,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Higashioka,Keider Montero,Tigers,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
Mason McCoy,Keider Montero,Tigers,Home,9,0,0,0,0,0,0,0,0,0,0,0,0
JP Crawford,JP Sears,Athletics,Away,1,12,3,0,0,0,1,3,1,.250,.400,.250,.650
Julio Rodriguez,JP Sears,Athletics,Away,2,16,3,0,0,0,0,0,5,.188,.235,.188,.423
Cal Raleigh,JP Sears,Athletics,Away,3,3,0,0,0,0,0,1,0,.000,.400,.000,.400
Randy Arozarena,JP Sears,Athletics,Away,4,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Polanco,JP Sears,Athletics,Away,5,0,0,0,0,0,0,0,0,0,0,0,0
Justin Turner,JP Sears,Athletics,Away,6,2,1,1,0,0,0,0,0,.500,.667,1.000,1.667
Luis Urias,JP Sears,Athletics,Away,7,1,0,0,0,0,0,0,1,.000,.500,.000,.500
Mitch Garver,JP Sears,Athletics,Away,8,3,1,0,0,0,1,1,0,.333,.500,.333,.833
Victor Robles,JP Sears,Athletics,Away,9,1,0,0,0,0,0,0,0,.000,.500,.000,.500
Lawrence Butler,George Kirby,Mariners,Home,1,3,1,0,0,0,0,0,0,.333,.333,.333,.667
Brent Rooker,George Kirby,Mariners,Home,2,9,3,1,0,1,2,0,1,.333,.333,.778,1.111
JJ Bleday,George Kirby,Mariners,Home,3,6,4,0,0,1,1,0,1,.667,.667,1.167,1.833
Shea Langeliers,George Kirby,Mariners,Home,4,4,2,1,0,0,1,0,2,.500,.500,.750,1.250
Seth Brown,George Kirby,Mariners,Home,5,14,3,1,0,0,0,2,6,.214,.313,.286,.598
Zack Gelof,George Kirby,Mariners,Home,6,5,3,1,0,1,1,0,1,.600,.600,1.400,2.000
Tristan Gray,George Kirby,Mariners,Home,7,0,0,0,0,0,0,0,0,0,0,0,0
Max Schuemann,George Kirby,Mariners,Home,8,2,0,0,0,0,0,0,2,.000,.000,.000,.000
Jacob Wilson,George Kirby,Mariners,Home,9,0,0,0,0,0,0,0,0,0,0,0,0
Corbin Carroll,Hayden Birdsong,Giants,Away,1,0,0,0,0,0,0,0,0,0,0,0,0
Jake McCarthy,Hayden Birdsong,Giants,Away,2,0,0,0,0,0,0,0,0,0,0,0,0
Joc Pederson,Hayden Birdsong,Giants,Away,3,0,0,0,0,0,0,0,0,0,0,0,0
Christian Walker,Hayden Birdsong,Giants,Away,4,0,0,0,0,0,0,0,0,0,0,0,0
Pavin Smith,Hayden Birdsong,Giants,Away,5,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Del Castillo,Hayden Birdsong,Giants,Away,6,0,0,0,0,0,0,0,0,0,0,0,0
Eugenio Suarez,Hayden Birdsong,Giants,Away,7,0,0,0,0,0,0,0,0,0,0,0,0
Luis Guillorme,Hayden Birdsong,Giants,Away,8,0,0,0,0,0,0,0,0,0,0,0,0
Geraldo Perdomo,Hayden Birdsong,Giants,Away,9,0,0,0,0,0,0,0,0,0,0,0,0
Mike Yastrzemski,Zac Gallen,Diamondbacks,Home,1,23,7,3,0,0,5,3,7,.304,.393,.435,.828
Tyler Fitzgerald,Zac Gallen,Diamondbacks,Home,2,0,0,0,0,0,0,0,0,0,0,0,0
Heliot Ramos,Zac Gallen,Diamondbacks,Home,3,0,0,0,0,0,0,0,0,0,0,0,0
Michael Conforto,Zac Gallen,Diamondbacks,Home,4,18,5,1,0,1,3,2,3,.278,.350,.500,.850
Matt Chapman,Zac Gallen,Diamondbacks,Home,5,7,0,0,0,0,0,0,2,.000,.000,.000,.000
LaMonte Wade Jr,Zac Gallen,Diamondbacks,Home,6,24,6,0,1,0,2,3,9,.250,.333,.333,.667
Patrick Bailey,Zac Gallen,Diamondbacks,Home,7,5,3,1,0,1,3,0,2,.600,.600,1.400,2.000
Marco Luciano,Zac Gallen,Diamondbacks,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
Grant McCray,Zac Gallen,Diamondbacks,Home,9,0,0,0,0,0,0,0,0,0,0,0,0
