Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,B Against PA,B Against H,Season PA,Season H,Location IP,Location H,Location BB,Right PA,Right H,Left PA,Left H,Recent IP,Recent H,Recent BB
Nathaniel Lowe,Marcus Stroman,Right,Home,5,5,1,594.0,136,63.1,62,30,305.0,67,289.0,69,23.0,22,8
Josh Jung,Marcus Stroman,Right,Home,6,5,0,594.0,136,63.1,62,30,305.0,67,289.0,69,23.0,22,8
Wyatt Langford,Marcus Stroman,Right,Home,7,2,1,594.0,136,63.1,62,30,305.0,67,289.0,69,23.0,22,8
Jonah Heim,Marcus Stroman,Right,Home,8,0,0,594.0,136,63.1,62,30,305.0,67,289.0,69,23.0,22,8
Leody Taveras,Marcus Stroman,Right,Home,9,2,0,594.0,136,63.1,62,30,305.0,67,289.0,69,23.0,22,8
Shohei Ohtani,Griffin Canning,Right,Away,1,0,0,612.0,148,75.1,80,33,294.0,70,318.0,78,22.1,23,5
Mookie Betts,Griffin Canning,Right,Away,2,5,2,612.0,148,75.1,80,33,294.0,70,318.0,78,22.1,23,5
Freddie Freeman,Griffin Canning,Right,Away,3,2,1,612.0,148,75.1,80,33,294.0,70,318.0,78,22.1,23,5
Teoscar Hernandez,Griffin Canning,Right,Away,4,6,4,612.0,148,75.1,80,33,294.0,70,318.0,78,22.1,23,5
Gavin Lux,Griffin Canning,Right,Away,5,2,1,612.0,148,75.1,80,33,294.0,70,318.0,78,22.1,23,5
Will Smith,Griffin Canning,Right,Away,6,5,2,612.0,148,75.1,80,33,294.0,70,318.0,78,22.1,23,5
Max Muncy,Griffin Canning,Right,Away,7,8,0,612.0,148,75.1,80,33,294.0,70,318.0,78,22.1,23,5
Tommy Edman,Griffin Canning,Right,Away,8,2,1,612.0,148,75.1,80,33,294.0,70,318.0,78,22.1,23,5
Miguel Rojas,Griffin Canning,Right,Away,9,1,0,612.0,148,75.1,80,33,294.0,70,318.0,78,22.1,23,5
Taylor Ward,Bobby Miller,Right,Home,1,0,0,199.0,52,22.2,37,15,100.0,28,99.0,24,5.0,4,3
Zach Neto,Bobby Miller,Right,Home,2,0,0,199.0,52,22.2,37,15,100.0,28,99.0,24,5.0,4,3
Nolan Schanuel,Bobby Miller,Right,Home,3,0,0,199.0,52,22.2,37,15,100.0,28,99.0,24,5.0,4,3
Anthony Rendon,Bobby Miller,Right,Home,4,0,0,199.0,52,22.2,37,15,100.0,28,99.0,24,5.0,4,3
Mickey Moniak,Bobby Miller,Right,Home,5,0,0,199.0,52,22.2,37,15,100.0,28,99.0,24,5.0,4,3
Logan O'Hoppe,Bobby Miller,Right,Home,6,0,0,199.0,52,22.2,37,15,100.0,28,99.0,24,5.0,4,3
Brandon Drury,Bobby Miller,Right,Home,7,0,0,199.0,52,22.2,37,15,100.0,28,99.0,24,5.0,4,3
Jo Adell,Bobby Miller,Right,Home,8,0,0,199.0,52,22.2,37,15,100.0,28,99.0,24,5.0,4,3
Niko Kavadas,Bobby Miller,Right,Home,9,0,0,199.0,52,22.2,37,15,100.0,28,99.0,24,5.0,4,3
Parker Meadows,Yu Darvish,Right,Away,1,0,0,224.0,45,39.1,36,11,119.0,22,105.0,23,5.2,9,1
Riley Greene,Yu Darvish,Right,Away,2,0,0,224.0,45,39.1,36,11,119.0,22,105.0,23,5.2,9,1
Matt Vierling,Yu Darvish,Right,Away,3,0,0,224.0,45,39.1,36,11,119.0,22,105.0,23,5.2,9,1
Kerry Carpenter,Yu Darvish,Right,Away,4,0,0,224.0,45,39.1,36,11,119.0,22,105.0,23,5.2,9,1
Colt Keith,Yu Darvish,Right,Away,5,0,0,224.0,45,39.1,36,11,119.0,22,105.0,23,5.2,9,1
Spencer Torkelson,Yu Darvish,Right,Away,6,0,0,224.0,45,39.1,36,11,119.0,22,105.0,23,5.2,9,1
Jace Jung,Yu Darvish,Right,Away,7,0,0,224.0,45,39.1,36,11,119.0,22,105.0,23,5.2,9,1
Trey Sweeney,Yu Darvish,Right,Away,8,0,0,224.0,45,39.1,36,11,119.0,22,105.0,23,5.2,9,1
Dillon Dingler,Yu Darvish,Right,Away,9,0,0,224.0,45,39.1,36,11,119.0,22,105.0,23,5.2,9,1
Fernando Tatis Jr,Keider Montero,Right,Home,1,0,0,292.0,70,27.2,29,8,143.0,38,149.0,32,6.1,3,1
Luis Arraez,Keider Montero,Right,Home,2,0,0,292.0,70,27.2,29,8,143.0,38,149.0,32,6.1,3,1
Jurickson Profar,Keider Montero,Right,Home,3,0,0,292.0,70,27.2,29,8,143.0,38,149.0,32,6.1,3,1
Manny Machado,Keider Montero,Right,Home,4,0,0,292.0,70,27.2,29,8,143.0,38,149.0,32,6.1,3,1
